ID,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Price
45646460,609,TOYOTA,Camry,2018,Sedan,Yes,Hybrid,2.5,127515 km,4,Automatic,Front,04-May,Left wheel,Black,12,
45655649,645,TOYOTA,Prius,2011,Hatchback,Yes,Hybrid,1.8,197328 km,4,Automatic,Front,04-May,Left wheel,White,12,
45455723,777,TOYOTA,Camry,2014,Sedan,Yes,Petrol,2.5,112000 km,4,Tiptronic,Front,04-May,Left wheel,Blue,8,
45813677,586,TOYOTA,Prius,2012,Hatchback,Yes,Hybrid,1.8,240146 km,4,Automatic,Front,04-May,Left wheel,Silver,0,
45764710,1190,TOYOTA,Tacoma,2014,Sedan,Yes,Petrol,4,0 km,6,Automatic,Rear,04-May,Left wheel,Silver,12,
45813678,781,TOYOTA,Camry XLE HYBRID,2012,Sedan,Yes,Hybrid,2.5,149000 km,4,Automatic,Front,04-May,Left wheel,Golden,12,
43559789,1266,TOYOTA,Aqua,2014,Hatchback,No,Hybrid,1.5,141000 km,4,Variator,Front,04-May,Right-hand drive,Silver,0,
45815747,-,TOYOTA,Ist,2004,Sedan,No,Petrol,1.3,138000 km,4,Automatic,Front,04-May,Right-hand drive,Silver,2,
45809330,502,TOYOTA,Aqua,2013,Universal,Yes,Hybrid,1.5,17071 km,4,Automatic,Front,04-May,Left wheel,Silver,4,
45341507,-,TOYOTA,Prius,2012,Sedan,No,Plug-in Hybrid,1.8,137000 km,4,Automatic,Front,04-May,Left wheel,White,8,
45773460,781,TOYOTA,Camry,2012,Jeep,Yes,Hybrid,2.5,268683 km,4,Automatic,Front,04-May,Left wheel,Blue,12,
45809794,502,TOYOTA,Aqua,2013,Hatchback,Yes,Petrol,1.5,115000 km,4,Automatic,Front,04-May,Left wheel,Black,4,
45504275,761,TOYOTA,Prius,2010,Sedan,No,Hybrid,1.8,195000 km,4,Variator,Front,04-May,Left wheel,White,6,
45782339,761,TOYOTA,Prius,2010,Sedan,No,Hybrid,1.8,228800 km,4,Automatic,Front,04-May,Left wheel,Silver,6,
45525213,1077,TOYOTA,CHR,2019,Jeep,Yes,Petrol,2,18950 km,4,Automatic,Front,04-May,Left wheel,Black,12,
45760400,-,TOYOTA,CHR,2018,Jeep,Yes,Petrol,2,9000 km,4,Tiptronic,Front,04-May,Left wheel,Grey,10,
44874355,397,TOYOTA,Prius,2016,Hatchback,No,Hybrid,1.8,108000 km,4,Automatic,Front,04-May,Left wheel,Silver,12,
45681554,831,TOYOTA,Camry,2011,Sedan,No,Hybrid,2.4,160000 km,4,Automatic,Front,04-May,Left wheel,White,5,
45764650,1342,TOYOTA,Tacoma,2017,Jeep,Yes,Petrol,2.7,94262 km,4,Automatic,Rear,04-May,Left wheel,White,12,
45815081,1024,TOYOTA,Camry,2010,Sedan,Yes,Petrol,2.5,74160 km,4,Automatic,Front,04-May,Left wheel,Blue,12,
45757210,779,TOYOTA,Camry,2013,Sedan,No,Petrol,2.5,136448 km,4,Automatic,Front,04-May,Left wheel,Grey,0,
45057389,503,TOYOTA,Prius C,2012,Sedan,No,Hybrid,1.5,106192 km,4,Tiptronic,Front,04-May,Left wheel,Black,12,
45806653,1058,TOYOTA,RAV 4,2012,Jeep,Yes,Petrol,3.5,170645 km,6,Automatic,Front,04-May,Left wheel,Red,12,
45745438,649,TOYOTA,Prius,2010,Hatchback,No,Hybrid,1.5,165000 km,4,Variator,Front,04-May,Left wheel,White,8,
45766608,1325,TOYOTA,Camry,2019,Sedan,Yes,Petrol,2.5,39198 km,4,Automatic,Front,04-May,Left wheel,Silver,12,
45805789,781,TOYOTA,Camry,2012,Sedan,Yes,Petrol,2.5,55371 km,4,Tiptronic,Front,04-May,Left wheel,Black,10,
45815227,878,TOYOTA,Corolla,2009,Sedan,Yes,Petrol,1.8,223034 km,4,Automatic,Front,04-May,Left wheel,Silver,12,
45765609,1342,TOYOTA,Tacoma,2017,Jeep,Yes,Petrol,2.7,94262 km,4,Automatic,Rear,04-May,Left wheel,White,12,
45646447,607,TOYOTA,Camry,2019,Sedan,Yes,Hybrid,2.5,9626 km,4,Automatic,Front,04-May,Left wheel,Black,12,
45408542,586,TOYOTA,Prius,2012,Sedan,Yes,Hybrid,1.8,150000 km,4,Variator,Front,04-May,Left wheel,Grey,12,
45769377,1058,TOYOTA,Highlander,2012,Sedan,Yes,Petrol,3.5,285186 km,6,Automatic,Front,04-May,Left wheel,Grey,12,
45773630,934,TOYOTA,RAV 4,2015,Jeep,Yes,Petrol,2.5,64000 km,6,Automatic,4x4,04-May,Left wheel,Blue,0,
45815232,978,TOYOTA,Corolla,2019,Sedan,Yes,Petrol,1.8,54307 km,4,Automatic,Front,04-May,Left wheel,Black,12,
45636016,586,TOYOTA,Prius áƒ¯áƒ‘áƒš áƒ“áƒ áƒ°áƒ”áƒ“áƒáƒžáƒ˜,2012,Hatchback,Yes,Petrol,1.8,176000 km,4,Automatic,Front,04-May,Left wheel,Carnelian red,12,
45489788,1268,TOYOTA,Aqua,2012,Hatchback,No,Hybrid,1.5,112000 km,4,Automatic,Front,04-May,Right-hand drive,White,2,
45772597,1750,TOYOTA,Highlander,2008,Coupe,Yes,Hybrid,3.3,182024 km,6,Automatic,4x4,04-May,Left wheel,Black,12,
45813425,1325,TOYOTA,Camry,2019,Sedan,Yes,Petrol,2.5,21502 km,4,Automatic,Front,04-May,Left wheel,White,12,
45746231,781,TOYOTA,Camry,2012,Sedan,Yes,Hybrid,2.5,109000 km,4,Tiptronic,Front,04-May,Left wheel,Grey,8,
43425210,586,TOYOTA,Prius,2012,Hatchback,No,Hybrid,1.8,201000 km,4,Automatic,Front,04-May,Left wheel,Black,8,
45766888,-,TOYOTA,Prius,2008,Sedan,No,Hybrid,1.5,185000 km,4,Automatic,Front,04-May,Left wheel,Black,8,
45773545,518,TOYOTA,Camry,2016,Jeep,Yes,Hybrid,2.5,39741 km,4,Automatic,Front,04-May,Left wheel,Black,12,
45642441,781,TOYOTA,Camry,2012,Sedan,Yes,Hybrid,2.5,156518 km,4,Automatic,Front,04-May,Left wheel,White,12,
